PLOT,TREATMENT,REP,DISTREP,SAMP,DATE,PLANTDIST,NRSTHT,POADIST,POAHT,Mortality
6,OTC,61GC,3,0,15/05/2010,5,5,5,5,0
6,OTC,61GC,4,0,15/05/2010,2,5,11.5,3,0
6,OTC,62GC,1,0,15/05/2010,4,5,17,5,0
6,OTC,62GC,2,0,15/05/2010,5,1,NA,NA,0
6,OTC,62GC,3,0,15/05/2010,1,1,9,11,0
6,OTC,62GC,4,0,15/05/2010,5,3,9,5,0
6,OTC,63GC,1,0,15/05/2010,4,3,4,3,0
6,OTC,63GC,2,0,15/05/2010,9,6.5,NA,NA,0
6,OTC,63GC,3,0,15/05/2010,21,5.6,NA,NA,0
6,OTC,63GC,4,0,15/05/2010,5,4.5,5,4.5,0
6,OTC,64GC,1,0,15/05/2010,1,3.5,NA,NA,0
6,OTC,64GC,2,0,15/05/2010,3,3.5,3,2,0
6,OTC,64GC,3,0,15/05/2010,6,4.6,7.5,2,0
6,OTC,64GC,4,0,15/05/2010,7,5.2,NA,NA,0
7,CTL,71GC,1,0,15/05/2010,10,5,NA,NA,0
7,CTL,71GC,2,0,15/05/2010,5,2.8,14,5,0
7,CTL,71GC,3,0,15/05/2010,8,4,9,4,0
7,CTL,71GC,4,0,15/05/2010,5,1,5,1,0
7,CTL,72GC,1,0,15/05/2010,3,1.7,2.5,1.7,0
7,CTL,72GC,2,0,15/05/2010,5,0.2,10,3,0
7,CTL,72GC,3,0,15/05/2010,3,1.6,2.5,1.6,0
7,CTL,72GC,4,0,15/05/2010,3,2.5,3,2.5,0
7,CTL,73GC,1,0,15/05/2010,7,2.5,11,2,0
7,CTL,73GC,2,0,15/05/2010,6,2,14,0.5,0
7,CTL,73GC,3,0,15/05/2010,9,2,9,2,0
7,CTL,73GC,4,0,15/05/2010,4,2.5,3.5,2.5,0
7,CTL,74GC,1,0,15/05/2010,4,3.1,NA,NA,0
7,CTL,74GC,2,0,15/05/2010,4,2.7,8,3,0
7,CTL,74GC,3,0,15/05/2010,3,6,12.5,0.5,0
7,CTL,74GC,4,0,15/05/2010,5,2,8,4,0
8,OTC,81GC,1,0,15/05/2010,1,3,12,4,0
8,OTC,81GC,2,0,15/05/2010,6,3.1,5.5,3.1,0
8,OTC,81GC,3,0,15/05/2010,3,1.5,14,3,0
8,OTC,81GC,4,0,15/05/2010,1,2.8,NA,NA,0
8,OTC,82GC,1,0,15/05/2010,9,12,9,12,0
8,OTC,82GC,2,0,15/05/2010,8,0.6,NA,NA,0
8,OTC,82GC,3,0,15/05/2010,8,3.2,13.5,6.5,0
8,OTC,82GC,4,0,15/05/2010,8,3,11.5,10,0
8,OTC,83GC,1,0,15/05/2010,17,6.5,17,6.5,0
8,OTC,83GC,2,0,15/05/2010,13,2.5,12.5,2.5,0
8,OTC,83GC,3,0,15/05/2010,8,5.6,NA,NA,0
8,OTC,83GC,4,0,15/05/2010,19,2.5,19,2.5,0
8,OTC,84GC,1,0,15/05/2010,8,1.2,8,1.2,0
8,OTC,84GC,2,0,15/05/2010,7,3.4,NA,NA,0
8,OTC,84GC,3,0,15/05/2010,3,3,NA,NA,0
8,OTC,84GC,4,0,15/05/2010,9,7,11,3,0
9,CTL,91GC,1,0,15/05/2010,11,3,11,3,0
9,CTL,91GC,2,0,15/05/2010,7,2.4,6.5,2.4,0
9,CTL,91GC,3,0,15/05/2010,8,3,13,3.5,0
9,CTL,91GC,4,0,15/05/2010,4,2,3.5,2,0
9,CTL,92GC,1,0,15/05/2010,4,1.1,12.5,3,0
9,CTL,92GC,2,0,15/05/2010,6,1.4,15,3,0
9,CTL,92GC,3,0,15/05/2010,6,2,8,6,0
9,CTL,92GC,4,0,15/05/2010,7,1.4,11,3,0
9,CTL,93GC,1,0,15/05/2010,6,2.5,6,2.5,0
9,CTL,93GC,2,0,15/05/2010,6,2.5,19,5,0
9,CTL,93GC,3,0,15/05/2010,5,3,7.5,4,0
9,CTL,93GC,4,0,15/05/2010,2,3,6.5,3.5,0
9,CTL,94GC,1,0,15/05/2010,1,2,NA,NA,0
9,CTL,94GC,2,0,15/05/2010,3,2.5,2.5,2.5,0
9,CTL,94GC,3,0,15/05/2010,2,0.9,6,2,0
9,CTL,94GC,4,0,15/05/2010,3,1.8,10,2,0
10,OTC,101GC,1,0,15/05/2010,6,3,10,7,0
10,OTC,101GC,2,0,15/05/2010,8,5,7.5,5,0
10,OTC,101GC,3,0,15/05/2010,10,3.6,10,3.6,0
10,OTC,101GC,4,0,15/05/2010,2,3.8,4,1,0
10,OTC,102GC,1,0,15/05/2010,3,1.9,2.5,1.9,0
10,OTC,102GC,2,0,15/05/2010,19,9.5,NA,NA,0
10,OTC,102GC,3,0,15/05/2010,5,2,NA,NA,0
10,OTC,102GC,4,0,15/05/2010,14,5,14,5,0
10,OTC,103GC,1,0,15/05/2010,8,2.5,15,9,0
10,OTC,103GC,2,0,15/05/2010,4,5.1,4,5.1,0
10,OTC,103GC,3,0,15/05/2010,4,2,3.5,2,0
10,OTC,103GC,4,0,15/05/2010,2,2,9,4,0
10,OTC,104GC,1,0,15/05/2010,11,8,NA,NA,0
10,OTC,104GC,2,0,15/05/2010,10,3,NA,NA,0
10,OTC,104GC,3,0,15/05/2010,8,3.5,15,3,0
