SITE,PLOT,TRT,TRT2,SPP,REP,DATE,SAMP,Ht,FBD,BD,Mortality,Notes
ITEXJ,1,CTL,COMP,GREAUS,12GC,8/05/2012,4,90.72,2.2,2.36,0,
ITEXJ,1,CTL,COMP,GREAUS,12GC,5/11/2012,5,90.36,2.64,2.11,0,
ITEXJ,1,CTL,COMP,GREAUS,12GC,13/04/2013,6,86.82,2.71,2.2,0,
ITEXJ,1,CTL,NORMAL,PHESQU,12PH,15/05/2010,0,31.5,0.9,0.5,0,
ITEXJ,1,CTL,NORMAL,PHESQU,12PH,22/11/2010,1,35.48,0.9,0.84,0,
ITEXJ,1,CTL,NORMAL,PHESQU,12PH,25/04/2011,2,NA,NA,NA,1,
ITEXJ,1,CTL,NORMAL,PHESQU,12PH,30/10/2011,3,NA,NA,NA,1,
ITEXJ,1,CTL,NORMAL,PHESQU,12PH,8/05/2012,4,NA,NA,NA,1,
ITEXJ,1,CTL,NORMAL,PHESQU,12PH,5/11/2012,5,NA,NA,NA,1,
ITEXJ,1,CTL,NORMAL,PHESQU,12PH,13/04/2013,6,NA,NA,NA,1,
ITEXJ,1,CTL,NORMAL,PROCUN,12PR,15/05/2010,0,142.5,3.3,2.8,0,
ITEXJ,1,CTL,NORMAL,PROCUN,12PR,22/11/2010,1,148.95,3.85,3.3,0,
ITEXJ,1,CTL,NORMAL,PROCUN,12PR,25/04/2011,2,153.72,5.88,3.71,0,
ITEXJ,1,CTL,NORMAL,PROCUN,12PR,30/10/2011,3,148.37,4.17,3.6,0,Frost dmg 50% of plant
ITEXJ,1,CTL,NORMAL,PROCUN,12PR,8/05/2012,4,145.81,5.04,3.95,0,Frost dmg 50% of plant
ITEXJ,1,CTL,NORMAL,PROCUN,12PR,5/11/2012,5,121.69,3.9,3.62,0,Frost dmg 50% of plant
ITEXJ,1,CTL,NORMAL,PROCUN,12PR,13/04/2013,6,102.18,5.23,3.65,0,Frost dmg 50% of plant
ITEXJ,1,CTL,NORMAL,ASTTRY,13A,15/05/2010,0,24.6,0.8,0.7,0,
ITEXJ,1,CTL,NORMAL,ASTTRY,13A,22/11/2010,1,28.63,1.01,0.74,0,
ITEXJ,1,CTL,NORMAL,ASTTRY,13A,25/04/2011,2,NA,NA,NA,1,
ITEXJ,1,CTL,NORMAL,ASTTRY,13A,30/10/2011,3,NA,NA,NA,1,
ITEXJ,1,CTL,NORMAL,ASTTRY,13A,8/05/2012,4,NA,NA,NA,1,
ITEXJ,1,CTL,NORMAL,ASTTRY,13A,5/11/2012,5,NA,NA,NA,1,
ITEXJ,1,CTL,NORMAL,ASTTRY,13A,13/04/2013,6,NA,NA,NA,1,
ITEXJ,1,CTL,NORMAL,GREAUS,13G,15/05/2010,0,52.3,1.2,1.2,0,
ITEXJ,1,CTL,NORMAL,GREAUS,13G,22/11/2010,1,67.08,1.64,1.3,0,
ITEXJ,1,CTL,NORMAL,GREAUS,13G,25/04/2011,2,84.28,2.06,2.52,0,
ITEXJ,1,CTL,NORMAL,GREAUS,13G,30/10/2011,3,88.06,2.15,2.26,0,
ITEXJ,1,CTL,NORMAL,GREAUS,13G,8/05/2012,4,98.29,2.56,2.64,0,
ITEXJ,1,CTL,NORMAL,GREAUS,13G,5/11/2012,5,93.48,2.46,2.52,0,
ITEXJ,1,CTL,NORMAL,GREAUS,13G,13/04/2013,6,94.77,2.29,2.42,0,
ITEXJ,1,CTL,COMP,GREAUS,13GC,15/05/2010,0,31.9,1.3,1.3,0,
