SITE,PLOT,TRT,TRT2,SPP,REP,DATE,SAMP,Ht,FBD,BD,Mortality,Notes
ITEXJ,13,OTC,NORMAL,PROCUN,133PR,30/10/2011,3,146.8,7.65,7.48,0,
ITEXJ,13,OTC,NORMAL,PROCUN,133PR,8/05/2012,4,205.59,10.45,9.96,0,
ITEXJ,13,OTC,NORMAL,PROCUN,133PR,5/11/2012,5,210.48,9.59,9.27,0,
ITEXJ,13,OTC,NORMAL,PROCUN,133PR,13/04/2013,6,280.11,12.19,11.26,0,
ITEXJ,13,OTC,NORMAL,ASTTRY,134A,15/05/2010,0,67.2,1.9,2,0,
ITEXJ,13,OTC,NORMAL,ASTTRY,134A,22/11/2010,1,65.62,1.26,1.14,0,
ITEXJ,13,OTC,NORMAL,ASTTRY,134A,25/04/2011,2,98.54,2.52,2.33,0,NEAR POA TUSSOCK
ITEXJ,13,OTC,NORMAL,ASTTRY,134A,30/10/2011,3,96.75,2.5,2.45,0,NEAR POA TUSSOCK
ITEXJ,13,OTC,NORMAL,ASTTRY,134A,8/05/2012,4,137.13,3.35,2.84,0,NEAR POA TUSSOCK
ITEXJ,13,OTC,NORMAL,ASTTRY,134A,5/11/2012,5,147.46,3.53,2.26,0,NEAR POA TUSSOCK
ITEXJ,13,OTC,NORMAL,ASTTRY,134A,13/04/2013,6,154.77,2.81,2.45,0,NEAR POA TUSSOCK
ITEXJ,13,OTC,NORMAL,GREAUS,134G,15/05/2010,0,32.5,1.1,1,0,
ITEXJ,13,OTC,NORMAL,GREAUS,134G,22/11/2010,1,44.67,1.02,1.02,0,
ITEXJ,13,OTC,NORMAL,GREAUS,134G,25/04/2011,2,97.33,1.7,1.81,0,
ITEXJ,13,OTC,NORMAL,GREAUS,134G,30/10/2011,3,99.13,1.69,1.78,0,
ITEXJ,13,OTC,NORMAL,GREAUS,134G,8/05/2012,4,118.27,2.52,2.24,0,
ITEXJ,13,OTC,NORMAL,GREAUS,134G,5/11/2012,5,116.76,2.12,1.99,0,
ITEXJ,13,OTC,NORMAL,GREAUS,134G,13/04/2013,6,119.45,2.81,1.93,0,
ITEXJ,13,OTC,COMP,GREAUS,134GC,15/05/2010,0,57.9,1.9,1.7,0,
ITEXJ,13,OTC,COMP,GREAUS,134GC,22/11/2010,1,52.67,2.01,2,0,
ITEXJ,13,OTC,COMP,GREAUS,134GC,25/04/2011,2,87.29,2.74,2.53,0,
ITEXJ,13,OTC,COMP,GREAUS,134GC,30/10/2011,3,86.74,3.55,2.45,0,
ITEXJ,13,OTC,COMP,GREAUS,134GC,8/05/2012,4,98.05,4.32,3.98,0,
ITEXJ,13,OTC,COMP,GREAUS,134GC,5/11/2012,5,107.95,3.86,3.01,0,
ITEXJ,13,OTC,COMP,GREAUS,134GC,13/04/2013,6,130.09,4.68,3.55,0,
ITEXJ,13,OTC,NORMAL,PHESQU,134PH,15/05/2010,0,78.4,1.6,1.4,0,
ITEXJ,13,OTC,NORMAL,PHESQU,134PH,22/11/2010,1,85.15,1.95,1.57,0,
ITEXJ,13,OTC,NORMAL,PHESQU,134PH,25/04/2011,2,106.34,2.07,2.02,0,
ITEXJ,13,OTC,NORMAL,PHESQU,134PH,30/10/2011,3,103.07,2.36,2.16,0,
ITEXJ,13,OTC,NORMAL,PHESQU,134PH,8/05/2012,4,112.87,2.8,2.39,0,
ITEXJ,13,OTC,NORMAL,PHESQU,134PH,5/11/2012,5,120.7,2.52,2.06,0,
ITEXJ,13,OTC,NORMAL,PHESQU,134PH,13/04/2013,6,118.12,2.95,2.43,0,
ITEXJ,13,OTC,NORMAL,PROCUN,134PR,15/05/2010,0,114.6,2.7,2.6,0,
ITEXJ,13,OTC,NORMAL,PROCUN,134PR,22/11/2010,1,115.74,2.73,2.4,0,
ITEXJ,13,OTC,NORMAL,PROCUN,134PR,25/04/2011,2,121.9,3.77,3.73,0,
ITEXJ,13,OTC,NORMAL,PROCUN,134PR,30/10/2011,3,129.55,4,4,0,
ITEXJ,13,OTC,NORMAL,PROCUN,134PR,8/05/2012,4,133.89,5.73,5.28,0,
ITEXJ,13,OTC,NORMAL,PROCUN,134PR,5/11/2012,5,169.81,6.48,4.92,0,
ITEXJ,13,OTC,NORMAL,PROCUN,134PR,13/04/2013,6,172.34,7.99,6.23,0,
ITEXJ,14,CTL,NORMAL,ASTTRY,141A,15/05/2010,0,31.6,0.8,0.7,0,
ITEXJ,14,CTL,NORMAL,ASTTRY,141A,22/11/2010,1,33.66,0.91,0.74,0,
ITEXJ,14,CTL,NORMAL,ASTTRY,141A,25/04/2011,2,69.03,1.28,1.1,0,
ITEXJ,14,CTL,NORMAL,ASTTRY,141A,30/10/2011,3,67.03,1,1.08,0,
ITEXJ,14,CTL,NORMAL,ASTTRY,141A,8/05/2012,4,82.43,1.33,1.34,0,
ITEXJ,14,CTL,NORMAL,ASTTRY,141A,5/11/2012,5,83.89,0.64,0.64,0,
ITEXJ,14,CTL,NORMAL,ASTTRY,141A,13/04/2013,6,83.72,0.88,0.83,0,
ITEXJ,14,CTL,NORMAL,GREAUS,141G,15/05/2010,0,25.9,1,0.8,0,
ITEXJ,14,CTL,NORMAL,GREAUS,141G,22/11/2010,1,35.79,1.08,1.03,0,
ITEXJ,14,CTL,NORMAL,GREAUS,141G,25/04/2011,2,34.63,1.69,1.28,0,
ITEXJ,14,CTL,NORMAL,GREAUS,141G,30/10/2011,3,32.6,1.15,1.26,0,
ITEXJ,14,CTL,NORMAL,GREAUS,141G,8/05/2012,4,43.18,1.43,1.64,0,
ITEXJ,14,CTL,NORMAL,GREAUS,141G,5/11/2012,5,53.77,0.78,0.97,0,
ITEXJ,14,CTL,NORMAL,GREAUS,141G,13/04/2013,6,60.49,1.99,1.39,0,
ITEXJ,14,CTL,COMP,GREAUS,141GC,15/05/2010,0,74.8,2.1,2.2,0,
ITEXJ,14,CTL,COMP,GREAUS,141GC,22/11/2010,1,67.5,2.38,2.33,0,
ITEXJ,14,CTL,COMP,GREAUS,141GC,25/04/2011,2,78.47,2.9,2.76,0,
ITEXJ,14,CTL,COMP,GREAUS,141GC,30/10/2011,3,83,2.84,2.91,0,
ITEXJ,14,CTL,COMP,GREAUS,141GC,8/05/2012,4,95.71,3.52,3.13,0,
ITEXJ,14,CTL,COMP,GREAUS,141GC,5/11/2012,5,88.73,2.89,2.69,0,Middle North
ITEXJ,14,CTL,COMP,GREAUS,141GC,13/04/2013,6,NA,NA,NA,1,Middle North
ITEXJ,14,CTL,NORMAL,PHESQU,141PH,15/05/2010,0,63.6,1.6,1.6,0,
ITEXJ,14,CTL,NORMAL,PHESQU,141PH,22/11/2010,1,65.28,1.73,1.53,0,
ITEXJ,14,CTL,NORMAL,PHESQU,141PH,25/04/2011,2,83.01,2.21,2.06,0,
ITEXJ,14,CTL,NORMAL,PHESQU,141PH,30/10/2011,3,81.56,2.28,2.1,0,
ITEXJ,14,CTL,NORMAL,PHESQU,141PH,8/05/2012,4,92.43,3,2.53,0,
ITEXJ,14,CTL,NORMAL,PHESQU,141PH,5/11/2012,5,95.26,2.43,1.78,0,
ITEXJ,14,CTL,NORMAL,PHESQU,141PH,13/04/2013,6,100.24,4.17,2.69,0,
ITEXJ,14,CTL,NORMAL,PROCUN,141PR,15/05/2010,0,58.8,2,1.7,0,
ITEXJ,14,CTL,NORMAL,PROCUN,141PR,22/11/2010,1,68.3,2.04,1.78,0,
ITEXJ,14,CTL,NORMAL,PROCUN,141PR,25/04/2011,2,92.78,3.22,3.3,0,
ITEXJ,14,CTL,NORMAL,PROCUN,141PR,30/10/2011,3,96.36,3.13,3.32,0,
ITEXJ,14,CTL,NORMAL,PROCUN,141PR,8/05/2012,4,131.31,4.58,4.07,0,
ITEXJ,14,CTL,NORMAL,PROCUN,141PR,5/11/2012,5,110.72,2.98,3.5,0,nearly dead
ITEXJ,14,CTL,NORMAL,PROCUN,141PR,13/04/2013,6,134.68,3.69,4.06,0,nearly dead
ITEXJ,14,CTL,NORMAL,ASTTRY,142A,15/05/2010,0,25.2,1,0.8,0,
ITEXJ,14,CTL,NORMAL,ASTTRY,142A,22/11/2010,1,34.04,0.91,0.75,0,
ITEXJ,14,CTL,NORMAL,ASTTRY,142A,25/04/2011,2,36.26,1.13,0.85,0,
ITEXJ,14,CTL,NORMAL,ASTTRY,142A,30/10/2011,3,31.39,1,0.87,0,
ITEXJ,14,CTL,NORMAL,ASTTRY,142A,8/05/2012,4,35.29,1.5,1.41,0,
ITEXJ,14,CTL,NORMAL,ASTTRY,142A,5/11/2012,5,46,0.98,0.56,0,painted blue
ITEXJ,14,CTL,NORMAL,ASTTRY,142A,13/04/2013,6,44.6,1.42,1.27,0,painted blue
ITEXJ,14,CTL,NORMAL,GREAUS,142G,15/05/2010,0,43.9,1.3,1.8,0,
ITEXJ,14,CTL,NORMAL,GREAUS,142G,22/11/2010,1,62,1.08,1.06,0,
ITEXJ,14,CTL,NORMAL,GREAUS,142G,25/04/2011,2,NA,NA,NA,1,
ITEXJ,14,CTL,NORMAL,GREAUS,142G,30/10/2011,3,NA,NA,NA,1,
ITEXJ,14,CTL,NORMAL,GREAUS,142G,8/05/2012,4,NA,NA,NA,1,
ITEXJ,14,CTL,NORMAL,GREAUS,142G,5/11/2012,5,NA,NA,NA,1,
ITEXJ,14,CTL,NORMAL,GREAUS,142G,13/04/2013,6,NA,NA,NA,1,
ITEXJ,14,CTL,COMP,GREAUS,142GC,15/05/2010,0,25,0.8,0.5,0,
ITEXJ,14,CTL,COMP,GREAUS,142GC,22/11/2010,1,27.1,0.83,0.81,0,
ITEXJ,14,CTL,COMP,GREAUS,142GC,25/04/2011,2,38.81,1.05,0.97,0,
ITEXJ,14,CTL,COMP,GREAUS,142GC,30/10/2011,3,30.61,0.96,0.97,0,
ITEXJ,14,CTL,COMP,GREAUS,142GC,8/05/2012,4,33.08,1.07,1.06,0,
ITEXJ,14,CTL,COMP,GREAUS,142GC,5/11/2012,5,41.85,0.33,0.3,0,
ITEXJ,14,CTL,COMP,GREAUS,142GC,13/04/2013,6,NA,NA,NA,1,
ITEXJ,14,CTL,NORMAL,PHESQU,142PH,15/05/2010,0,42.6,0.9,1.1,0,
ITEXJ,14,CTL,NORMAL,PHESQU,142PH,22/11/2010,1,46.36,0.88,0.71,0,
ITEXJ,14,CTL,NORMAL,PHESQU,142PH,25/04/2011,2,65.59,1.02,1.02,0,
ITEXJ,14,CTL,NORMAL,PHESQU,142PH,30/10/2011,3,64.62,1.04,1.07,0,
ITEXJ,14,CTL,NORMAL,PHESQU,142PH,8/05/2012,4,76.26,1.33,1.4,0,
ITEXJ,14,CTL,NORMAL,PHESQU,142PH,5/11/2012,5,75.69,0.7,0.7,0,
ITEXJ,14,CTL,NORMAL,PHESQU,142PH,13/04/2013,6,NA,NA,NA,1,
ITEXJ,14,CTL,NORMAL,PROCUN,142PR,15/05/2010,0,83.2,2.6,2.9,0,
ITEXJ,14,CTL,NORMAL,PROCUN,142PR,22/11/2010,1,97.42,2.88,2.67,0,
ITEXJ,14,CTL,NORMAL,PROCUN,142PR,25/04/2011,2,137.34,4.04,3.76,0,
ITEXJ,14,CTL,NORMAL,PROCUN,142PR,30/10/2011,3,143.43,4.94,3.75,0,
ITEXJ,14,CTL,NORMAL,PROCUN,142PR,8/05/2012,4,164.75,6.62,5.52,0,
ITEXJ,14,CTL,NORMAL,PROCUN,142PR,5/11/2012,5,162.13,5.69,4.56,0,
ITEXJ,14,CTL,NORMAL,PROCUN,142PR,13/04/2013,6,184.2,8.42,6.28,0,
ITEXJ,14,CTL,NORMAL,ASTTRY,143A,15/05/2010,0,75,2.2,1.8,0,
ITEXJ,14,CTL,NORMAL,ASTTRY,143A,22/11/2010,1,83.44,1.81,1.72,0,
ITEXJ,14,CTL,NORMAL,ASTTRY,143A,25/04/2011,2,76.21,2.44,1.96,0,
ITEXJ,14,CTL,NORMAL,ASTTRY,143A,30/10/2011,3,76.13,2.41,1.99,0,
ITEXJ,14,CTL,NORMAL,ASTTRY,143A,8/05/2012,4,81.83,2.65,2.26,0,
ITEXJ,14,CTL,NORMAL,ASTTRY,143A,5/11/2012,5,84.31,2.97,1.52,0,
ITEXJ,14,CTL,NORMAL,ASTTRY,143A,13/04/2013,6,86.86,3.91,2.74,0,
ITEXJ,14,CTL,NORMAL,GREAUS,143G,15/05/2010,0,48.5,1.8,1.3,0,
ITEXJ,14,CTL,NORMAL,GREAUS,143G,22/11/2010,1,53.79,1.14,1.14,0,
ITEXJ,14,CTL,NORMAL,GREAUS,143G,25/04/2011,2,63.97,2.01,1.46,0,NEAR POA TUSSOCK
ITEXJ,14,CTL,NORMAL,GREAUS,143G,30/10/2011,3,60.33,1.99,1.5,0,NEAR POA TUSSOCK
ITEXJ,14,CTL,NORMAL,GREAUS,143G,8/05/2012,4,68.7,2.4,2.14,0,NEAR POA TUSSOCK
ITEXJ,14,CTL,NORMAL,GREAUS,143G,5/11/2012,5,65.72,1.98,1.45,0,NEAR POA TUSSOCK
ITEXJ,14,CTL,NORMAL,GREAUS,143G,13/04/2013,6,72.49,2.67,1.99,0,NEAR POA TUSSOCK
ITEXJ,14,CTL,COMP,GREAUS,143GC,15/05/2010,0,72.9,1.8,1.5,0,
ITEXJ,14,CTL,COMP,GREAUS,143GC,22/11/2010,1,76.41,1.9,1.39,0,
ITEXJ,14,CTL,COMP,GREAUS,143GC,25/04/2011,2,83.65,2.44,1.91,0,
ITEXJ,14,CTL,COMP,GREAUS,143GC,30/10/2011,3,84.15,2.85,2.02,0,
ITEXJ,14,CTL,COMP,GREAUS,143GC,8/05/2012,4,82.03,2.34,2.1,0,
ITEXJ,14,CTL,COMP,GREAUS,143GC,5/11/2012,5,87.3,2.6,1.7,0,
ITEXJ,14,CTL,COMP,GREAUS,143GC,13/04/2013,6,87.5,2.76,2.37,0,
ITEXJ,14,CTL,NORMAL,PHESQU,143PH,15/05/2010,0,69.6,1.7,1.6,0,
ITEXJ,14,CTL,NORMAL,PHESQU,143PH,22/11/2010,1,77.06,1.82,1.43,0,
ITEXJ,14,CTL,NORMAL,PHESQU,143PH,25/04/2011,2,100.8,2.21,2.03,0,
ITEXJ,14,CTL,NORMAL,PHESQU,143PH,30/10/2011,3,106.69,2.07,1.69,0,
ITEXJ,14,CTL,NORMAL,PHESQU,143PH,8/05/2012,4,NA,NA,NA,1,
ITEXJ,14,CTL,NORMAL,PHESQU,143PH,5/11/2012,5,NA,NA,NA,1,
ITEXJ,14,CTL,NORMAL,PHESQU,143PH,13/04/2013,6,NA,NA,NA,1,
ITEXJ,14,CTL,NORMAL,PROCUN,143PR,15/05/2010,0,NA,NA,NA,0,
ITEXJ,14,CTL,NORMAL,PROCUN,143PR,22/11/2010,1,98.68,3.79,2.64,0,
ITEXJ,14,CTL,NORMAL,PROCUN,143PR,25/04/2011,2,107.45,4.28,3.84,0,
ITEXJ,14,CTL,NORMAL,PROCUN,143PR,30/10/2011,3,111.38,4,4.23,0,
ITEXJ,14,CTL,NORMAL,PROCUN,143PR,8/05/2012,4,133.56,5.13,5.32,0,
ITEXJ,14,CTL,NORMAL,PROCUN,143PR,5/11/2012,5,134.82,3.81,4.64,0,
ITEXJ,14,CTL,NORMAL,PROCUN,143PR,13/04/2013,6,132.3,7.39,5.92,0,
ITEXJ,14,CTL,NORMAL,ASTTRY,144A,15/05/2010,0,46.3,1.2,1.3,0,
ITEXJ,14,CTL,NORMAL,ASTTRY,144A,22/11/2010,1,54.02,1.3,1.07,0,
ITEXJ,14,CTL,NORMAL,ASTTRY,144A,25/04/2011,2,69.52,1.66,1.39,0,
ITEXJ,14,CTL,NORMAL,ASTTRY,144A,30/10/2011,3,72.06,1.46,1.27,0,
ITEXJ,14,CTL,NORMAL,ASTTRY,144A,8/05/2012,4,77.13,1.95,2.12,0,
ITEXJ,14,CTL,NORMAL,ASTTRY,144A,5/11/2012,5,77.78,1.54,1.21,0,
ITEXJ,14,CTL,NORMAL,ASTTRY,144A,13/04/2013,6,82.66,2.51,2.22,0,
ITEXJ,14,CTL,NORMAL,GREAUS,144G,15/05/2010,0,89.8,2.4,2.3,0,
ITEXJ,14,CTL,NORMAL,GREAUS,144G,22/11/2010,1,103.67,2.235,1.81,0,
ITEXJ,14,CTL,NORMAL,GREAUS,144G,25/04/2011,2,NA,NA,NA,1,
ITEXJ,14,CTL,NORMAL,GREAUS,144G,30/10/2011,3,NA,NA,NA,1,
ITEXJ,14,CTL,NORMAL,GREAUS,144G,8/05/2012,4,NA,NA,NA,1,
ITEXJ,14,CTL,NORMAL,GREAUS,144G,5/11/2012,5,NA,NA,NA,1,
ITEXJ,14,CTL,NORMAL,GREAUS,144G,13/04/2013,6,NA,NA,NA,1,
ITEXJ,14,CTL,COMP,GREAUS,144GC,15/05/2010,0,49.19,1.465,1.465,0,2 BRANCHES; USED AVERAGE
ITEXJ,14,CTL,COMP,GREAUS,144GC,22/11/2010,1,49.19,1.465,1.465,0,2 BRANCHES; USED AVERAGE
ITEXJ,14,CTL,COMP,GREAUS,144GC,25/04/2011,2,49.19,1.465,1.465,0,2 BRANCHES; USED AVERAGE
ITEXJ,14,CTL,COMP,GREAUS,144GC,30/10/2011,3,47.75,1.55,1.43,0,2 BRANCHES; USED AVERAGE
ITEXJ,14,CTL,COMP,GREAUS,144GC,8/05/2012,4,48.11,1.74,1.49,0,2 BRANCHES; USED AVERAGE
ITEXJ,14,CTL,COMP,GREAUS,144GC,5/11/2012,5,58.79,1.4,1.17,0,2 BRANCHES; use Avg
ITEXJ,14,CTL,COMP,GREAUS,144GC,13/04/2013,6,58.35,1.97,1.96,0,2 BRANCHES; use Avg
ITEXJ,14,CTL,NORMAL,PHESQU,144PH,15/05/2010,0,44.4,1.3,1.5,0,
ITEXJ,14,CTL,NORMAL,PHESQU,144PH,22/11/2010,1,49.76,1.3,1.28,0,
ITEXJ,14,CTL,NORMAL,PHESQU,144PH,25/04/2011,2,62.12,1.62,1.72,0,NEAR POA TUSSOCK
ITEXJ,14,CTL,NORMAL,PHESQU,144PH,30/10/2011,3,56.25,1.68,1.76,0,NEAR POA TUSSOCK
ITEXJ,14,CTL,NORMAL,PHESQU,144PH,8/05/2012,4,62.12,2.37,1.85,0,NEAR POA TUSSOCK
ITEXJ,14,CTL,NORMAL,PHESQU,144PH,5/11/2012,5,65.14,1.77,1.59,0,NEAR POA TUSSOCK
ITEXJ,14,CTL,NORMAL,PHESQU,144PH,13/04/2013,6,71.58,2.52,1.4,0,NEAR POA TUSSOCK
ITEXJ,14,CTL,NORMAL,PROCUN,144PR,15/05/2010,0,112.6,2.8,2.5,0,
ITEXJ,14,CTL,NORMAL,PROCUN,144PR,22/11/2010,1,123.07,2.91,2.58,0,
ITEXJ,14,CTL,NORMAL,PROCUN,144PR,25/04/2011,2,134.79,4.65,4.23,0,
ITEXJ,14,CTL,NORMAL,PROCUN,144PR,30/10/2011,3,127.37,4.99,4.7,0,
ITEXJ,14,CTL,NORMAL,PROCUN,144PR,8/05/2012,4,148.9,7.72,6.95,0,
ITEXJ,14,CTL,NORMAL,PROCUN,144PR,5/11/2012,5,159,7.48,6.54,0,
ITEXJ,14,CTL,NORMAL,PROCUN,144PR,13/04/2013,6,185.17,10.05,9.87,0,
ITEXJ,15,OTC,NORMAL,ASTTRY,151A,15/05/2010,0,49,1.3,1,0,
ITEXJ,15,OTC,NORMAL,ASTTRY,151A,22/11/2010,1,39.04,1.43,1.47,0,
ITEXJ,15,OTC,NORMAL,ASTTRY,151A,25/04/2011,2,48,1.6,1.69,0,
ITEXJ,15,OTC,NORMAL,ASTTRY,151A,30/10/2011,3,49.79,1.48,1.58,0,
ITEXJ,15,OTC,NORMAL,ASTTRY,151A,8/05/2012,4,69.01,1.99,2.33,0,
ITEXJ,15,OTC,NORMAL,ASTTRY,151A,5/11/2012,5,74.05,1.71,1.27,0,
ITEXJ,15,OTC,NORMAL,ASTTRY,151A,13/04/2013,6,75.67,2.42,1.82,0,
ITEXJ,15,OTC,NORMAL,GREAUS,151G,15/05/2010,0,114.9,2.2,2.3,0,
ITEXJ,15,OTC,NORMAL,GREAUS,151G,22/11/2010,1,116.99,2.74,2.31,0,
ITEXJ,15,OTC,NORMAL,GREAUS,151G,25/04/2011,2,NA,NA,NA,1,
ITEXJ,15,OTC,NORMAL,GREAUS,151G,30/10/2011,3,NA,NA,NA,1,
ITEXJ,15,OTC,NORMAL,GREAUS,151G,8/05/2012,4,NA,NA,NA,1,
ITEXJ,15,OTC,NORMAL,GREAUS,151G,5/11/2012,5,NA,NA,NA,1,
ITEXJ,15,OTC,NORMAL,GREAUS,151G,13/04/2013,6,NA,NA,NA,1,
ITEXJ,15,OTC,COMP,GREAUS,151GC,15/05/2010,0,59,1.9,2.5,0,
ITEXJ,15,OTC,COMP,GREAUS,151GC,22/11/2010,1,66.14,2.14,1.94,0,
ITEXJ,15,OTC,COMP,GREAUS,151GC,25/04/2011,2,NA,NA,NA,1,Near peg 15
ITEXJ,15,OTC,COMP,GREAUS,151GC,30/10/2011,3,NA,NA,NA,1,Near peg 15
ITEXJ,15,OTC,COMP,GREAUS,151GC,8/05/2012,4,NA,NA,NA,1,Near peg 15
ITEXJ,15,OTC,COMP,GREAUS,151GC,5/11/2012,5,NA,NA,NA,1,Near peg 15
ITEXJ,15,OTC,COMP,GREAUS,151GC,13/04/2013,6,NA,NA,NA,1,Near peg 15
ITEXJ,15,OTC,NORMAL,PHESQU,151PH,15/05/2010,0,48.1,1.3,1.3,0,
ITEXJ,15,OTC,NORMAL,PHESQU,151PH,22/11/2010,1,53.68,1.58,1.11,0,
ITEXJ,15,OTC,NORMAL,PHESQU,151PH,25/04/2011,2,NA,NA,NA,1,
ITEXJ,15,OTC,NORMAL,PHESQU,151PH,30/10/2011,3,NA,NA,NA,1,
ITEXJ,15,OTC,NORMAL,PHESQU,151PH,8/05/2012,4,NA,NA,NA,1,
ITEXJ,15,OTC,NORMAL,PHESQU,151PH,5/11/2012,5,NA,NA,NA,1,
ITEXJ,15,OTC,NORMAL,PHESQU,151PH,13/04/2013,6,NA,NA,NA,1,
ITEXJ,15,OTC,NORMAL,PROCUN,151PR,15/05/2010,0,60.7,2.9,2.4,0,
ITEXJ,15,OTC,NORMAL,PROCUN,151PR,22/11/2010,1,67.19,2.97,2.63,0,
ITEXJ,15,OTC,NORMAL,PROCUN,151PR,25/04/2011,2,120.1,5.07,5.06,0,
ITEXJ,15,OTC,NORMAL,PROCUN,151PR,30/10/2011,3,132.89,5.64,5.11,0,
ITEXJ,15,OTC,NORMAL,PROCUN,151PR,8/05/2012,4,188.46,9.18,8.55,0,
ITEXJ,15,OTC,NORMAL,PROCUN,151PR,5/11/2012,5,201.11,7.38,6.49,0,
ITEXJ,15,OTC,NORMAL,PROCUN,151PR,13/04/2013,6,242.03,12.16,9.01,0,
ITEXJ,15,OTC,NORMAL,ASTTRY,152A,15/05/2010,0,NA,NA,NA,0,
ITEXJ,15,OTC,NORMAL,ASTTRY,152A,22/11/2010,1,36.11,1.32,1.09,0,
ITEXJ,15,OTC,NORMAL,ASTTRY,152A,25/04/2011,2,67.75,1.56,1.72,0,
ITEXJ,15,OTC,NORMAL,ASTTRY,152A,30/10/2011,3,70.29,1.5,1.59,0,
ITEXJ,15,OTC,NORMAL,ASTTRY,152A,8/05/2012,4,117.54,2.43,2.17,0,
ITEXJ,15,OTC,NORMAL,ASTTRY,152A,5/11/2012,5,119.22,1.96,1.47,0,
ITEXJ,15,OTC,NORMAL,ASTTRY,152A,13/04/2013,6,122.75,2.86,2.07,0,
ITEXJ,15,OTC,NORMAL,GREAUS,152G,15/05/2010,0,33.1,1,1.2,0,
ITEXJ,15,OTC,NORMAL,GREAUS,152G,22/11/2010,1,28.39,0.88,1.2,0,
ITEXJ,15,OTC,NORMAL,GREAUS,152G,25/04/2011,2,42.95,1.19,1.28,0,
ITEXJ,15,OTC,NORMAL,GREAUS,152G,30/10/2011,3,51.82,1.37,1,0,
ITEXJ,15,OTC,NORMAL,GREAUS,152G,8/05/2012,4,NA,NA,NA,1,
ITEXJ,15,OTC,NORMAL,GREAUS,152G,5/11/2012,5,NA,NA,NA,1,
ITEXJ,15,OTC,NORMAL,GREAUS,152G,13/04/2013,6,NA,NA,NA,1,
ITEXJ,15,OTC,COMP,GREAUS,152GC,15/05/2010,0,60.9,1.5,1.2,0,
ITEXJ,15,OTC,COMP,GREAUS,152GC,22/11/2010,1,61.6,2.04,1.52,0,
ITEXJ,15,OTC,COMP,GREAUS,152GC,25/04/2011,2,NA,NA,NA,1,
ITEXJ,15,OTC,COMP,GREAUS,152GC,30/10/2011,3,NA,NA,NA,1,
ITEXJ,15,OTC,COMP,GREAUS,152GC,8/05/2012,4,NA,NA,NA,1,
ITEXJ,15,OTC,COMP,GREAUS,152GC,5/11/2012,5,NA,NA,NA,1,
ITEXJ,15,OTC,COMP,GREAUS,152GC,13/04/2013,6,NA,NA,NA,1,
ITEXJ,15,OTC,NORMAL,PHESQU,152PH,15/05/2010,0,33.7,1.2,1.2,0,
ITEXJ,15,OTC,NORMAL,PHESQU,152PH,22/11/2010,1,34.31,1.05,1.08,0,
ITEXJ,15,OTC,NORMAL,PHESQU,152PH,25/04/2011,2,48.43,1.76,1.47,0,
ITEXJ,15,OTC,NORMAL,PHESQU,152PH,30/10/2011,3,54.74,1.62,1.49,0,
ITEXJ,15,OTC,NORMAL,PHESQU,152PH,8/05/2012,4,63.52,2.3,1.63,0,
ITEXJ,15,OTC,NORMAL,PHESQU,152PH,5/11/2012,5,63.79,1.46,1.17,0,
ITEXJ,15,OTC,NORMAL,PHESQU,152PH,13/04/2013,6,70.97,2.05,1.76,0,
ITEXJ,15,OTC,NORMAL,PROCUN,152PR,15/05/2010,0,57.6,2.4,1.9,0,
ITEXJ,15,OTC,NORMAL,PROCUN,152PR,22/11/2010,1,55.67,2.53,2.68,0,
ITEXJ,15,OTC,NORMAL,PROCUN,152PR,25/04/2011,2,134.45,1.04,1.41,0,
ITEXJ,15,OTC,NORMAL,PROCUN,152PR,30/10/2011,3,132.69,5.72,5.16,0,
ITEXJ,15,OTC,NORMAL,PROCUN,152PR,8/05/2012,4,244.06,8.93,8.02,0,
ITEXJ,15,OTC,NORMAL,PROCUN,152PR,5/11/2012,5,269.44,7.64,9.62,0,
ITEXJ,15,OTC,NORMAL,PROCUN,152PR,13/04/2013,6,321,14.58,9.72,0,
ITEXJ,15,OTC,NORMAL,ASTTRY,153A,15/05/2010,0,71.3,1.8,1.5,0,
ITEXJ,15,OTC,NORMAL,ASTTRY,153A,22/11/2010,1,77.66,1.8,1.74,0,
ITEXJ,15,OTC,NORMAL,ASTTRY,153A,25/04/2011,2,106.8,2.22,1.75,0,
ITEXJ,15,OTC,NORMAL,ASTTRY,153A,30/10/2011,3,105.08,1.99,1.88,0,
ITEXJ,15,OTC,NORMAL,ASTTRY,153A,8/05/2012,4,119.76,2.32,2.32,0,
ITEXJ,15,OTC,NORMAL,ASTTRY,153A,5/11/2012,5,125.53,2.05,1.74,0,
ITEXJ,15,OTC,NORMAL,ASTTRY,153A,13/04/2013,6,127.13,2.87,1.94,0,
ITEXJ,15,OTC,NORMAL,GREAUS,153G,15/05/2010,0,85.6,2.4,2.3,0,
ITEXJ,15,OTC,NORMAL,GREAUS,153G,22/11/2010,1,94.51,2.67,2.45,0,
ITEXJ,15,OTC,NORMAL,GREAUS,153G,25/04/2011,2,94.47,2.55,2.68,0,
ITEXJ,15,OTC,NORMAL,GREAUS,153G,30/10/2011,3,91.39,2.53,2.62,0,
ITEXJ,15,OTC,NORMAL,GREAUS,153G,8/05/2012,4,96.51,2.69,2.74,0,
ITEXJ,15,OTC,NORMAL,GREAUS,153G,5/11/2012,5,98.18,2.23,2.38,0,
